#Title,Digilent WaveForms Oscilloscope Data
#Device Name,Analog Discovery
#Serial Number,SN:210244627777
#Software Version,2.7.5
Time (s),C1 (V),C2 (V)
-0.0249965277777778,0.792032291589634,0.00704308731662034
-0.0249902777777778,0.799037949706356,0.133917235079805
-0.0249840277777778,0.809546436881441,0.239645691549126
-0.0249777777777778,0.820054924056525,0.377092684959242
-0.0249715277777778,0.827060582173248,0.493393987075495
-0.0249652777777778,0.83406624028997,0.613219571074058
-0.0249590277777778,0.848077556523416,0.736569436954932
-0.0249527777777778,0.855083214640139,0.856395020953495
-0.0249465277777778,0.862088872756861,0.986793450598991
-0.0249402777777778,0.869094530873584,1.09252190706831
-0.0249340277777778,0.879603018048668,1.22292033671381
-0.0249277777777778,0.890111505223753,1.34979448447699
-0.0249215277777778,0.897117163340476,1.45904722282862
-0.0249152777777778,0.90762565051556,1.58592137059181
-0.0249090277777778,0.914631308632282,1.70222267270806
-0.0249027777777778,0.925139795807366,1.82909682047124
-0.0248965277777778,0.935648282982451,1.93834955882288
-0.0248902777777778,0.942653941099173,2.05465086093913
-0.0248840277777778,0.949659599215896,2.18504929058462
-0.0248777777777778,0.960168086390981,2.29430202893625
-0.0248715277777778,0.967173744507703,2.41412761293482
-0.0248652777777778,0.977682231682787,2.53042891505107
-0.0248590277777778,0.98468788979951,2.65377878093194
-0.0248527777777778,0.991693547916233,2.76303151928358
-0.0248465277777778,0.998699206032956,2.88285710328214
-0.0248402777777778,1.00570486414968,3.00973125104532
-0.0248340277777778,1.01621335132476,3.11193542563233
-0.0248277777777778,1.02321900944149,3.22823672774859
-0.0248215277777778,1.03372749661657,3.35863515739408
-0.0248152777777778,1.03723032567493,3.45731505009878
-0.0248090277777778,1.05124164190838,3.58066491597965
-0.0248027777777778,1.05474447096674,3.68639337244898
-0.0247965277777778,1.06525295814182,3.80269467456523
-0.0247902777777778,1.07576144531691,3.90842313103455
-0.0247840277777778,1.08276710343363,4.01415158750387
-0.0247777777777778,1.08626993249199,4.13045288962012
-0.0247715277777778,1.10028124872544,4.24322990985406
-0.0247652777777778,1.1037840777838,4.33838552067645
-0.0247590277777778,1.11429256495888,4.46173538655733
-0.0247527777777778,1.12480105213397,4.57803668867358
-0.0247465277777778,1.12830388119233,4.68024086326059
-0.0247402777777778,1.13881236836741,4.77892075596529
-0.0247340277777778,1.14581802648413,4.89169777619923
-0.0247277777777778,1.15282368460086,5.00447479643317
-0.0247215277777778,1.16333217177594,5.08905756160863
-0.0247152777777778,1.17033782989266,5.19831029996026
-0.0247090277777778,1.17734348800939,5.31461160207651
-0.0247027777777778,1.18084631706775,5.40624293101659
-0.0246965277777778,1.18434914612611,5.51197138748591
-0.0246902777777778,1.19485763330119,5.62122412583754
-0.0246840277777778,1.20536612047628,5.72695258230686
-0.0246777777777778,1.20886894953464,5.82915675689387
-0.0246715277777778,1.21587460765136,5.9384094952455
-0.0246652777777778,1.22988592388481,6.05471079736176
-0.0246590277777778,1.23338875294317,6.15339069006645
-0.0246527777777778,1.24039441105989,6.25559486465346
-0.0246465277777778,1.24740006917661,6.37542044865203
-0.0246402777777778,1.25440572729334,6.48467318700366
-0.0246340277777778,1.26141138541006,6.58687736159067
-0.0246277777777778,1.26841704352678,6.69260581805999
-0.0246215277777778,1.27542270164351,6.80890712017624
-0.0246152777777778,1.28593118881859,6.90758701288094
-0.0246090277777778,1.29293684693531,7.00274262370333
-0.0246027777777778,1.29994250505204,7.11551964393727
-0.0245965277777778,1.3034453341104,7.20715097287735
-0.0245902777777778,1.30694816316876,7.29878230181743
-0.0245840277777778,1.31395382128548,7.39746219452213
-0.0245777777777778,1.32446230846057,7.49966636910914
-0.0245715277777778,1.33146796657729,7.59482197993152
-0.0245652777777778,1.33497079563565,7.66883189946005
-0.0245590277777778,1.34547928281073,7.78160891969399
-0.0245527777777778,1.35248494092746,7.87676453051638
-0.0245465277777778,1.35598776998582,7.96134729569184
-0.0245402777777778,1.36299342810254,8.05650290651422
-0.0245340277777778,1.36999908621926,8.15165851733661
-0.0245277777777778,1.37350191527762,8.246814128159
-0.0245215277777778,1.37700474433599,8.32434832956984
-0.0245152777777778,1.38751323151107,8.41597965850992
-0.0245090277777778,1.39451888962779,8.51818383309692
-0.0245027777777778,1.39802171868615,8.60629088015469
-0.0244965277777778,1.40502737680288,8.69439792721246
-0.0244902777777778,1.41553586397796,8.78602925615254
-0.0244840277777778,1.41903869303632,8.88823343073955
